,postalCode,RestCount,afact,popsum,NP,RMSP,VALP,HINCP
2003,37303,2,1.0,25461.0,2.0,6.0,145000.0,54200.0
2004,37307,1,1.0,4870.0,2.0,6.0,145000.0,54200.0
2005,37310,2,1.0,4135.0,2.0,6.0,145000.0,54200.0
2006,37311,2,1.0,27373.0,2.0,6.004,145420.0,54299.2
2007,37312,3,1.0,30962.0,2.0,6.0,145000.0,54200.0
2008,37321,1,1.0,19113.0,2.0,6.0,132000.0,52800.0
2009,37343,1,1.0,40042.0,2.0,6.459,222950.0,74293.3
2010,37347,2,1.0,7559.0,2.0,6.0,132000.0,52800.0
2011,37353,1,1.0,4513.0,2.0,6.148,160540.0,57870.4
2012,37354,2,1.0,16483.0,2.0,6.0,125140.0,48043.4
2013,37355,1,1.0,25596.0,2.0,6.0,125000.0,51800.0
2014,37356,1,1.0,2486.0,2.0,6.0,132000.0,52800.0
2015,37361,1,1.0,1478.0,2.0,6.0,145000.0,54200.0
2016,37363,2,1.0,32244.0,2.0,6.752999999999999,237650.0,76851.1
2017,37388,1,1.0,24494.0,2.0,6.0,124975.0,51780.0
2018,37398,1,1.0,14347.0,2.0,6.0,125000.0,51800.0
2019,37402,8,1.0,3917.0,2.0,6.0,179000.0,64900.0
2020,37404,1,1.0,13327.0,2.0,6.0,179000.0,64900.0
2021,37405,2,1.0,14597.0,2.0,6.045,197762.0,69536.50000000001
2022,37408,3,1.0,1486.0,2.0,6.0,179000.0,64900.0
2023,37411,1,1.0,17587.0,2.0,6.0,179168.0,64943.2
2024,37412,1,1.0,20951.0,2.0,6.0,179000.0,64900.0
2025,37415,1,1.0,23873.0,2.0,6.0070000000000014,200350.0,70360.9
2026,37416,1,1.0,14486.0,2.0,6.272,213600.0,72666.4
2027,37419,1,1.0,6099.999999999999,2.0,5.999999999999999,194968.0,69005.0
2028,37421,3,1.0,46228.0,2.0,6.101,194907.0,68570.5
2029,37601,1,1.0,36182.0,2.0,6.0,132980.0,50627.8
2030,37604,5,1.0,34245.0,2.0,6.0,130080.0,50308.8
2031,37615,1,1.0,19560.0,2.0,6.0,130000.0,50300.0
2032,37617,2,1.0,14251.0,2.0,5.999999999999999,130680.0,49778.2
2033,37620,2,1.0,39102.0,2.0,6.0,130000.0,49700.0
2034,37643,1,1.0,33689.0,2.0,6.0,140000.0,51400.0
2035,37659,1,1.0,27585.0,2.0,5.999999999999999,130000.0,50298.8
2036,37660,5,1.0,40038.0,2.0,6.0,147200.0,51678.0
2037,37663,1,1.0,14617.000000000002,2.0,6.0,130000.0,49736.60000000001
2038,37664,2,1.0,26880.0,2.0,6.0,139740.0,50820.10000000001
2039,37701,3,1.0,6817.0,2.0,6.0,150000.0,55020.0
2040,37725,1,1.0,16919.0,2.0,6.0,140000.0,52700.0
2041,37738,4,1.0,5288.0,2.0,6.0,140000.0,52700.0
2042,37745,2,1.0,18401.0,2.0,6.0,140000.0,51400.0
2043,37760,1,1.0,12931.0,2.0,6.0,140000.0,52700.0
2044,37763,1,1.0,15794.0,2.0,6.0,125000.0,48000.0
2045,37764,1,1.0,9258.0,2.0,6.0,138660.0,52938.52
2046,37769,1,1.0,5990.000000000001,2.0,6.0,131720.0,51046.2
2047,37771,1,1.0,15380.0,2.0,6.0,125000.0,48000.0
2048,37772,1,1.0,11146.0,2.0,6.017,127125.0,48612.0
2049,37774,1,1.0,18321.0,2.0,6.0,125000.0,48000.0
